账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,000968,蓝焰控股,0,30900,30900,0,0,1400,13.66,14.21,0.0253,439089,0.0401112575025619,16933.2,0.000393005135130258,0.0101908813324835
101800000076 (集中交易) ,600231,凌钢股份,0,131200,131200,0,0,11500,2.94,3.33,0.0183,436896,0.134196185286104,51692.8,0.00119974581586832,0.0101399836721865
101800000076 (集中交易) ,002549,凯美特气,0,51700,0,0,51700,0,8.27,8.42,0.0157,435314,0.018630534720542,7961.8,0.000184786589946383,0.0101032668009646
101800000076 (集中交易) ,600569,安阳钢铁,0,153200,153200,0,0,2100,2.71,2.83,0.0107,433556,0.0431256911168448,17924.4,0.000416010042055181,0.0100624651197963
101800000076 (集中交易) ,601188,龙江交通,0,89699,89299,0,400,0,4.75,4.83,0.0105,433246.17,0.0172704296545914,7355.318,0.000170710659799448,0.0100552742296504
101800000076 (集中交易) ,600396,金山股份,0,0,0,0,0,111900,3.86,3.92,0.0103,0,0.0163339382940108,0,0,0
101800000076 (集中交易) ,600505,西昌电力,0,52200,52100,0,100,0,8.26,8.26,0.0061,431172,0.000484496124030954,208.8,4.84606998176351E-06,0.0100071345123416
101800000076 (集中交易) ,002495,佳隆股份,0,94300,94300,0,0,100,4.59,4.57,0.0044,430951,-0.00327153762268259,-1414.5,-3.28293390287571E-05,0.0100020052907613
101800000076 (集中交易) ,601107,四川成渝,0,92700,0,0,92700,0,4.66,4.65,0.0043,431055,-0.00193174500965861,-834.3,-1.9363391694374E-05,0.0100044190420932
101800000076 (集中交易) ,600828,茂业商业,0,0,0,0,0,53100,7.14,7.99,0.0025,0,0.118890911637026,0,0,0
101800000076 (集中交易) ,600190,锦州港,0,98200,96800,0,1400,0,4.28,4.38,0.0023,430116,0.0224089635854342,9427.2,0.000218797274578932,0.00998262565266376
101800000076 (集中交易) ,601003,柳钢股份,0,95300,95300,0,0,2800,4.36,4.51,0.0022,429803,0.0355912743972444,14771.5,0.000342833921147604,0.0099753611895206
101800000076 (集中交易) ,300301,长方集团,0,4700,4700,0,0,0,6.19,6.35,0,29845,0.0260138956212635,756.7,1.75623618544083E-05,0.000692677004816724
101800000076 (集中交易) ,300217,东方电热,0,117500,114900,0,2600,0,3.79,3.65,0,428875,-0.0379546652609384,-16920,-0.000392698774384284,0.00995382310071276
101800000076 (集中交易) ,002578,闽发铝业,0,99100,97200,0,1900,0,4.36,4.33,0,429103,-0.00688073394495419,-2973,-6.90007952863166E-05,0.00995911478632503
101800000076 (集中交易) ,511990,华宝添益,0,168873,168873,0,0,0,99.566,99.984,0,16884598.032,0.00419822027599775,70588.914,0.00163830851140175,0.391877124889935
101800000076 (集中交易) ,300305,裕兴股份,0,48100,48100,0,0,300,8.91,8.91,-0.0011,428571,0.00044913541432737,192.4,4.46543996403879E-06,0.0099467675198964
101800000076 (集中交易) ,600117,西宁特钢,0,85100,85100,0,0,1600,4.87,5.03,-0.002,428053,0.0326421679326627,13530.9,0.000314040652855574,0.00993474518153168
101800000076 (集中交易) ,601518,吉林高速,0,114058,114058,0,0,800,3.72,3.75,-0.0027,427717.5,0.0088781275221953,3763.914,8.73572349106294E-05,0.00992695851257152
101800000076 (集中交易) ,000761,本钢板材,0,84593,84593,0,0,1200,4.81,5.05,-0.0039,427194.65,0.0498960498960499,20302.32,0.000471199537893472,0.0099148236098418
101800000076 (集中交易) ,601015,陕西黑猫,0,0,0,0,0,59900,6.57,7.30,-0.0041,0,0.110942017957693,0,0,0
101800000076 (集中交易) ,600223,鲁商置业,0,92423,92423,0,0,1300,4.60,4.62,-0.0043,426994.26,0.00347523892267594,1478.768,3.43209445152896E-05,0.00991017272878986
101800000076 (集中交易) ,002593,日上集团,0,81408,81408,0,0,800,5.11,5.23,-0.0057,425763.84,0.0236836954394207,9850.368,0.000228618643075306,0.00988161572961859
101800000076 (集中交易) ,000420,吉林化纤,0,138900,138900,0,0,600,3.08,3.07,-0.0065,426423,-0.00195058517555274,-833.4,-1.9342503461694E-05,0.00989691427123343
101800000076 (集中交易) ,600370,三房巷,0,93300,93300,0,0,1800,4.43,4.57,-0.0065,426381,0.0311371841155234,12875.4,0.000298827056720296,0.0098959394870417
101800000076 (集中交易) ,600313,农发种业,0,104600,104400,0,200,0,4.19,4.07,-0.0073,425722,-0.0274790919952209,-12029,-0.000279182834342113,0.00988064465889044
101800000076 (集中交易) ,300169,天晟新材,0,55698,55398,0,300,0,7.61,7.64,-0.0078,425532.72,0.00341476228001048,1448.148,3.36102804212206E-05,0.00987625163146636
101800000076 (集中交易) ,300370,安控科技,0,86700,0,0,86700,0,4.93,4.91,-0.0081,425697,-0.00405679513184576,-1734,-4.02446616301625E-05,0.00988006443020489
101800000076 (集中交易) ,600163,中闽能源,0,89700,89700,0,0,1900,4.55,4.74,-0.0084,425178,0.042904290429043,17491.5,0.000405962802136094,0.00986801888269274
101800000076 (集中交易) ,002228,合兴包装,0,92433,92433,0,0,700,4.65,4.60,-0.0086,425191.8,-0.00968783638320774,-4159.485,-9.65381005655919E-05,0.00986833916892717
101800000076 (集中交易) ,002397,梦洁股份,0,64700,64700,0,0,100,6.52,6.57,-0.009,425079,0.00844205679201851,3558.5,8.25897511020376E-05,0.00986572117709794
101800000076 (集中交易) ,002181,粤 传 媒,0,79000,0,0,79000,0,5.41,5.38,-0.0092,425020,-0.00462534690101764,-1975,-4.58380661589221E-05,0.00986435183740003
101800000076 (集中交易) ,600248,延长化建,0,71100,71100,0,0,700,6.19,5.97,-0.01,424467,-0.0353853611245759,-15570.9,-0.000361387313596942,0.00985151717887553
101800000076 (集中交易) ,300260,新莱应材,0,32200,31800,0,400,0,13.72,13.15,-0.0113,423430,-0.0411957710535909,-18193,-0.000422244019052795,0.00982744929299867
101800000076 (集中交易) ,002613,北玻股份,0,84310,84310,0,0,100,4.93,5.02,-0.0118,423236.2,0.0186688311688311,7756.52,0.000180022216163545,0.00982295136022824
101800000076 (集中交易) ,600744,华银电力,0,0,0,0,0,85500,5.15,4.93,-0.012,0,-0.041974349008939,0,0,0
